key,surface,denominator,metrics,status
orbit,Table 1,7 prior/system rows,"dataset, programs, projects above 1K LoC, median/mean LoC",exact_reference
orbit,Table 2,24 CRUST-Bench projects,"LoC, functions, files, tests",exact_reference
orbit,Table 3,24 CRUST-Bench projects,"C2Rust translation/build/test, CRUST-Bench reference build/test, ORBIT expert/generated build/test",exact_reference_and_codeweaver_slice
orbit,Table 4,24 CRUST-Bench projects,"pointer dereferences, pointer arithmetic, unsafe LoC, unsafe percent, LoC for four systems",exact_reference
orbit,Table 5,13 TRACTOR programs,"performance pass fraction, ORBIT result, vector pass rate",exact_reference
orbit,Table 6,3 CRUST-Bench programs x 4 ablations,"function coverage, test coverage, build and test",exact_reference
rustine,Table 1,23 repositories,benchmark coverage,exact_existing_result
rustine,Table 2,23 repositories / 21 testable,"compilation, function/line coverage, assertions",exact_existing_result
rustine,Table 3,23 repositories,"pointer arithmetic, raw pointers, unsafe lines/casts/calls",exact_existing_result
sactor,Figures 2-3,100 TransCoder-IR + 100 CodeNet programs,success through six attempts and Clippy alerts,exact_existing_result
sactor,Tables 1-3,"two 100-program sets, CRUST-Bench-50, libogg-77","unsafe code, translation success, lints and attempts",exact_existing_result
sactor,Tables 5-9 and Figure 8,"paper datasets, models and ablations","dataset, model, failure, cost, feedback and CRUST-Bench baseline comparisons",exact_existing_result
evoc2rust,Table 4,Vivo-Bench and unreleased C2R-Bench,"ICompRate, AccRate-P/R, SafeRate",public_subset_existing_result
evoc2rust,Table 5,Vivo-Bench modules and unreleased projects,FCompRate and TestRate,public_subset_existing_result
evoc2rust,Table 6,paper ablation configurations,"skeleton, mapping, repair ablations",reference_only_unreleased_inputs
evoc2rust,RQ4 figures,six industrial projects,scale and elapsed time,blocked_unreleased
rustprint,Benchmark statistics,8 repositories / 11K-84K LoC,repository size and documentation,reference_only
rustprint,Table 1,8 CodeWikiBench repositories x 5 systems,compilation,exact_reference_public_artifact
rustprint,Table 2,8 repositories x 2 cross-generated test suites,true-positive rate,exact_reference_public_artifact
rustprint,Figures 2 and 4,8 repositories x systems/backbones,feature preservation and SafeRate,exact_reference_public_artifact
recodeagent,Full paper evaluation,118 projects / 4 language pairs / 6 languages,"build, project tests, generated tests, coverage, cost",exact_existing_result
recodeagent,Multi-agent ablation,paper ablation campaign,test-pass decrease without specialization,exact_existing_result
deptrans,Benchmark statistics,145 repository instances / 85K training samples,dependencies and project characteristics,blocked_unreleased
