model,method,sr,cr,apr,ampr
Qwen3,TranslationOnly,0.0,26.2,18.6,16.2
Qwen3,ErrorFeedback,12.4,30.5,23.0,20.5
Qwen3,RepoTransAgent,16.9,34.4,26.4,23.6
Qwen3-think,TranslationOnly,0.0,25.9,18.7,16.7
Qwen3-think,ErrorFeedback,13.8,30.9,22.9,20.8
Qwen3-think,RepoTransAgent,19.1,36.0,27.3,25.0
DeepSeek,TranslationOnly,0.0,27.0,17.2,15.2
DeepSeek,ErrorFeedback,13.9,30.2,24.3,21.6
DeepSeek,RepoTransAgent,22.5,36.5,30.4,27.9
DeepSeek-R,TranslationOnly,0.0,10.9,1.5,1.3
DeepSeek-R,ErrorFeedback,0.9,10.8,2.3,1.9
DeepSeek-R,RepoTransAgent,1.2,10.9,2.5,2.1
Claude,TranslationOnly,0.0,28.0,16.4,14.7
Claude,ErrorFeedback,11.3,37.5,26.8,24.3
Claude,RepoTransAgent,32.8,54.8,44.8,41.3
Gemini,TranslationOnly,0.0,32.5,6.1,5.2
Gemini,ErrorFeedback,4.1,31.2,10.3,9.2
Gemini,RepoTransAgent,11.3,34.4,21.6,19.9
GPT-4.1,TranslationOnly,0.0,26.5,19.6,17.4
GPT-4.1,ErrorFeedback,15.6,37.7,29.0,26.1
GPT-4.1,RepoTransAgent,32.8,53.3,45.4,40.8
o3-mini,TranslationOnly,0.2,33.3,6.0,5.4
o3-mini,ErrorFeedback,8.7,38.5,11.4,10.8
o3-mini,RepoTransAgent,12.0,41.0,24.2,23.0
