key,title,paper_id,empirical_scope,crust_role,artifact_url,license,evidence_depth,codeweaver_status,reason,existing_result,artifact_revision
orbit,ORBIT,arXiv:2604.12048,24 named CRUST-Bench projects plus TRACTOR,exact named subset:24,,no public artifact located,full paper tables,measured_existing_slice,all 24 names map exactly to the retained 100-project campaign,,
sactor,SACTOR,arXiv:2503.12511v3,"TransCoder-IR, CodeNet, 50 CRUST-Bench projects, libogg",exact named subset:50,https://github.com/qsdrqs/sactor,MIT,full paper tables and public implementation,exact_existing_result,three CodeWeaver repetitions on the exact 50-project subset,results/sactor-codeweaver-comparison-2026-08-14,
rustine,Rustine,arXiv:2511.20617,23 C repositories,cites benchmark; own 23-project suite,https://github.com/Intelligent-CAT-Lab/Rustine,artifact license captured in prior result,full paper and artifact,exact_existing_result,leakage-safe CodeWeaver evaluation on all 23 released subjects,results/rustine-codeweaver-comparison-2026-08-12,
evoc2rust,EvoC2Rust,arXiv:2508.04295v4,"Vivo-Bench, C2R-Bench, six industrial projects",citation only,https://atomgit.com/vivoblueos2/vivo_blueos_contest2_c2rust,public Vivo-Bench source; other benchmark components unreleased,full paper; public subset only,partial_existing_result,three repetitions cover public Vivo-Bench; C2R-Bench and industrial projects are unreleased,results/evoc2rust-codeweaver-comparison-2026-08-13,
rustprint,RustPrint,arXiv:2605.14634,"eight repositories, 11K-84K LoC",citation only,https://github.com/FSoft-AI4Code/RustPrint,MIT,full paper and public artifact,public_artifact_new_run_required,CodeWikiBench's eight repositories are disjoint from retained CRUST-Bench tasks,,9d04214e750999cc56ec4c44e54e456254e913fc
recodeagent,ReCodeAgent,arXiv:2604.07341,"118 repositories, four language pairs",citation only,https://github.com/gsoosk/CodeWeaver,MIT,full reproduction,exact_existing_result,complete 118-project CodeWeaver campaign and paper-style report,results/recodeagent-gpt-5.6-sol-final-2026-08-11,
deptrans,DepTrans,arXiv:2604.02852,145-instance benchmark and 15 Huawei projects,citation only,,benchmark and Huawei projects unreleased,paper reference,blocked,no exact public benchmark source and fixed oracle,,
ptrtrans,PtrTrans,arXiv:2510.10956,16 Crown projects,citation only,https://github.com/FudanSELab/PtrTrans-C2Rust,no LICENSE file; all rights reserved,full paper and public read-only artifact,public_artifact_license_restricted,Crown-16 is disjoint from CRUST-Bench and cannot be redistributed without a license,,b20d5bb68a598a739f79d52114651e37cc6999cb
and-inator,&inator,arXiv:2604.17261,C-to-Rust interface translation,citation only,,paper is CC-BY; executable comparison artifact not established,paper reference,not_comparable,interface synthesis is not end-to-end project translation,,
rustassure,RustAssure,arXiv:2510.07604,five applications/libraries; differential symbolic validation,citation only,https://github.com/davsec-lab/rustassure,no LICENSE file; all rights reserved,paper aggregate and public read-only artifact,public_artifact_metric_mismatch,function-level KLEE equivalence is not CodeWeaver project pass-all,,
actor-li,ACToR,arXiv:2510.03879,63 command-line C utilities,citation only,https://github.com/kisp-nus/ACToR,MIT,full paper and public artifact,exact_micro_campaign_and_blocked_macro,the six-program absolute hidden oracle is executable and receives three leakage-safe CodeWeaver repetitions; the 57-program macro metric is relative cross-testing without released fixed outputs/tests,results/crust-citation-complete-codeweaver-2026-08-20/data/actor-li,7427da3d3dfb3c0985aafe86df87f815fa3f08d1
matchfixagent,MatchFixAgent,arXiv:2509.16187,translation validation and repair,citation only,,comparison artifact not established,paper reference,not_comparable,validator/repair verdict metrics are not translator success metrics,,
lac2r,LAC2R,arXiv:2505.15858,"GNU coreutils, Laertes, TRACTOR public tests",citation only; no CRUST-Bench evaluation,,no complete executable artifact located,full paper tables,reference_only,"eight subject names overlap the Rustine suite, but revisions/contracts are not proven identical",results/rustine-codeweaver-comparison-2026-08-12,
qwen3-finetune,Fine-Tuning Qwen3-27B,arXiv:2608.13681,SACTOR-framework function translation,citation only,https://github.com/moxin-org/C2Rust,Apache-2.0,paper reference,not_comparable,function-level SACTOR evaluation is not a repository project oracle,results/sactor-codeweaver-comparison-2026-08-14,b111ade
hayroll,Hayroll,DOI 10.1145/3808276,macro and conditional-compilation wrapper translation,citation only,https://github.com/UW-HARVEST/Hayroll,public repository,paper and public artifact,not_comparable,specialized preprocessing task has no shared end-to-end metric,,555af434
cnnotator,CNnotator,arXiv:2606.21822,memory-safety annotation synthesis,citation only,,artifact status unresolved,paper reference,not_comparable,annotation synthesis is not repository translation,,
tram,TRAM,arXiv:2511.21878,mock-based Java-to-Python in-isolation validation,citation only,,artifact status unresolved,paper reference,not_comparable,validation method and language pair differ,,
formal-compositional,Formal Compositional Reasoning,EECS-2025-174,formal compositional code-translation reasoning,citation only,,technical-report reference only,paper reference,not_comparable,methodology/position contribution lacks a compatible released project oracle,,
actor-schesch-ernst,ACTOR (Schesch and Ernst),IEEE S&P 2026,paper: 87 CRUST-Bench projects and 338 TRACTOR cases; public result artifact: 95 CRUST project directories,paper's 87-project exclusion set is not recoverable; separately labeled public-artifact 95-project overlap,https://github.com/UW-HARVEST/ACTOR,MIT,full paper and public artifact,reference_87_and_measured_public_95_overlap,"paper values retain denominator 87, but the pinned results submodule contains 95 project directories and does not identify the paper's 13 exclusions; CodeWeaver's matching public 95 are reported separately",results/crust-bench-codeweaver-comparison-2026-08-14,55502661b2bff3019d3c1e72481f7b99cc247aaa
taco,TACO,arXiv:2604.19572,terminal-agent context compression over six benchmarks,CRUST-Bench terminal-task metric,https://github.com/multimodal-art-projection/TACO,public artifact,full paper tables,reference_only,47.00% to 48.05% terminal-task accuracy is not project pass-all,results/crust-bench-codeweaver-comparison-2026-08-14,
