id,tool,project,source_language,target_language,source_rel_path,oracle_rel_path,scaffold_rel_path,ground_truth_target_rel_path,loc_source,test_count_source,function_count_source,status,notes,discovered_at
crust__2dpartint,crust,2dpartint,C,Rust,data/tool_projects/crust/2dpartint/c,,data/tool_projects/crust/2dpartint/rust,,757,8,26,ok,,2026-07-31T21:08:29.884652Z
crust__42-kocaeli-printf,crust,42-kocaeli-printf,C,Rust,data/tool_projects/crust/42-kocaeli-printf/c,,data/tool_projects/crust/42-kocaeli-printf/rust,,272,2,10,ok,,2026-07-31T21:08:29.892048Z
crust__aes128-simd,crust,aes128-simd,C,Rust,data/tool_projects/crust/aes128-simd/c,,data/tool_projects/crust/aes128-simd/rust,,402,4,15,ok,,2026-07-31T21:08:29.903603Z
crust__amp,crust,amp,C,Rust,data/tool_projects/crust/amp/c,,data/tool_projects/crust/amp/rust,,149,1,4,ok,,2026-07-31T21:08:29.909844Z
crust__approxidate,crust,approxidate,C,Rust,data/tool_projects/crust/approxidate/c,,data/tool_projects/crust/approxidate/rust,,998,2,33,ok,,2026-07-31T21:08:29.916691Z
crust__avalanche,crust,avalanche,C,Rust,data/tool_projects/crust/avalanche/c,,data/tool_projects/crust/avalanche/rust,,199,1,10,ok,,2026-07-31T21:08:29.924477Z
crust__bhshell,crust,bhshell,C,Rust,data/tool_projects/crust/bhshell/c,,data/tool_projects/crust/bhshell/rust,,559,3,21,ok,,2026-07-31T21:08:29.941775Z
crust__bigint,crust,bigint,C,Rust,data/tool_projects/crust/bigint/c,,data/tool_projects/crust/bigint/rust,,1014,8,45,ok,,2026-07-31T21:08:29.952796Z
crust__bitset,crust,bitset,C,Rust,data/tool_projects/crust/bitset/c,,data/tool_projects/crust/bitset/rust,,413,12,28,ok,,2026-07-31T21:08:29.962299Z
crust__blt,crust,blt,C,Rust,data/tool_projects/crust/blt/c,,data/tool_projects/crust/blt/rust,,1023,1,80,ok,,2026-07-31T21:08:29.973526Z
crust__bostree,crust,bostree,C,Rust,data/tool_projects/crust/bostree/c,,data/tool_projects/crust/bostree/rust,,946,3,28,ok,,2026-07-31T21:08:29.983650Z
crust__btree-map,crust,btree-map,C,Rust,data/tool_projects/crust/btree-map/c,,data/tool_projects/crust/btree-map/rust,,379,6,26,ok,,2026-07-31T21:08:29.990839Z
crust__c-aces,crust,c-aces,C,Rust,data/tool_projects/crust/c-aces/c,,data/tool_projects/crust/c-aces/rust,,1892,13,73,ok,,2026-07-31T21:08:30.013178Z
crust__c-blind-rsa-signatures,crust,c-blind-rsa-signatures,C,Rust,data/tool_projects/crust/c-blind-rsa-signatures/c,,data/tool_projects/crust/c-blind-rsa-signatures/rust,,1101,3,40,ok,,2026-07-31T21:08:30.021899Z
crust__c-string,crust,c-string,C,Rust,data/tool_projects/crust/c-string/c,,data/tool_projects/crust/c-string/rust,,775,15,44,ok,,2026-07-31T21:08:30.030716Z
crust__carrays,crust,carrays,C,Rust,data/tool_projects/crust/carrays/c,,data/tool_projects/crust/carrays/rust,,1450,3,62,ok,,2026-07-31T21:08:30.041629Z
crust__cfsm,crust,cfsm,C,Rust,data/tool_projects/crust/cfsm/c,,data/tool_projects/crust/cfsm/rust,,5088,1,98,ok,,2026-07-31T21:08:30.075481Z
crust__chtrie,crust,chtrie,C,Rust,data/tool_projects/crust/chtrie/c,,data/tool_projects/crust/chtrie/rust,,230,1,8,ok,,2026-07-31T21:08:30.083073Z
crust__circularbuffer,crust,circularbuffer,C,Rust,data/tool_projects/crust/circularbuffer/c,,data/tool_projects/crust/circularbuffer/rust,,317,1,12,ok,,2026-07-31T21:08:30.090056Z
crust__cissy,crust,cissy,C,Rust,data/tool_projects/crust/cissy/c,,data/tool_projects/crust/cissy/rust,,1327,3,31,ok,,2026-07-31T21:08:30.108073Z
crust__cjson,crust,cjson,C,Rust,data/tool_projects/crust/cjson/c,,data/tool_projects/crust/cjson/rust,,947,1,63,ok,,2026-07-31T21:08:30.116998Z
crust__clhash,crust,clhash,C,Rust,data/tool_projects/crust/clhash/c,,data/tool_projects/crust/clhash/rust,,702,5,28,ok,,2026-07-31T21:08:30.127869Z
crust__clog,crust,clog,C,Rust,data/tool_projects/crust/clog/c,,data/tool_projects/crust/clog/rust,,930,1,29,ok,,2026-07-31T21:08:30.136488Z
crust__coroutine,crust,coroutine,C,Rust,data/tool_projects/crust/coroutine/c,,data/tool_projects/crust/coroutine/rust,,226,1,12,ok,,2026-07-31T21:08:30.143467Z
crust__cset,crust,cset,C,Rust,data/tool_projects/crust/cset/c,,data/tool_projects/crust/cset/rust,,931,15,36,ok,,2026-07-31T21:08:30.150945Z
