subject_id,subject,variant,repetition,loc,run_completion,run_completion_status,run_completion_reason,contract_integrity,contract_integrity_status,contract_integrity_reason,compilation,compilation_status,compilation_reason,fixed_contract_tests,fixed_contract_tests_status,fixed_contract_tests_reason,function_coverage_percent,function_coverage_percent_status,function_coverage_percent_reason,line_coverage_percent,line_coverage_percent_status,line_coverage_percent_reason,elapsed_seconds,elapsed_seconds_status,elapsed_seconds_reason,input_tokens,input_tokens_status,input_tokens_reason,output_tokens,output_tokens_status,output_tokens_reason,assertions_executed,assertions_executed_status,assertions_executed_reason,assertions_passed,assertions_passed_status,assertions_passed_reason,assertions_failed,assertions_failed_status,assertions_failed_reason,pointer_arithmetic,pointer_arithmetic_status,pointer_arithmetic_reason,raw_pointer_declarations,raw_pointer_declarations_status,raw_pointer_declarations_reason,raw_pointer_dereferences,raw_pointer_dereferences_status,raw_pointer_dereferences_reason,unsafe_lines,unsafe_lines_status,unsafe_lines_reason,unsafe_type_casts,unsafe_type_casts_status,unsafe_type_casts_reason,unsafe_calls,unsafe_calls_status,unsafe_calls_reason
1,qsort,full,0,27,True,measured,,True,measured,,True,measured,,True,measured,,80.0,measured,,95.16129032258064,measured,,1462.273285,measured,,,unavailable,Copilot logs did not expose input tokens,78987,measured,,21,inferred,all fixed checks passed; value is credited from the paper denominator,21,inferred,all fixed checks passed; value is credited from the paper denominator,0,inferred,all fixed checks passed; value is credited from the paper denominator,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,0,measured,,0,measured,,0,measured,,0,measured,,0,measured,
2,bst,full,0,65,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
3,rgba,full,0,411,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
4,quadtree,full,0,437,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
5,buffer,full,0,452,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
6,grabc,full,0,490,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
7,urlparser,full,0,563,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
8,xzoom,full,0,659,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
9,genann,full,0,690,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
10,ht,full,0,699,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
