manifest_index,project_id,project,tool,repetition,execution_status,terminal,returncode,attempt,started_at,ended_at,error_class,error_excerpt,source_run_dir,reservation_depth,canonical_state_present
0,crust__2dpartint,2dpartint,crust,0,completed,True,0,1,2026-08-05T17:19:29.645390Z,2026-08-05T20:50:34.385274Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__2dpartint/rep0,0,True
0,crust__2dpartint,2dpartint,crust,1,running,False,,1,2026-08-05T18:11:25.414655Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__2dpartint/rep1,0,True
0,crust__2dpartint,2dpartint,crust,2,running,False,,1,2026-08-05T18:11:25.414284Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__2dpartint/rep2,0,True
1,crust__42-kocaeli-printf,42-kocaeli-printf,crust,0,completed,True,0,1,2026-08-05T18:11:25.417025Z,2026-08-05T19:03:27.155172Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__42-kocaeli-printf/rep0,0,True
1,crust__42-kocaeli-printf,42-kocaeli-printf,crust,1,completed,True,0,1,2026-08-05T18:11:25.416690Z,2026-08-05T20:14:25.199676Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__42-kocaeli-printf/rep1,0,True
1,crust__42-kocaeli-printf,42-kocaeli-printf,crust,2,completed,True,0,1,2026-08-05T18:11:25.419085Z,2026-08-05T19:05:46.499067Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__42-kocaeli-printf/rep2,0,True
2,crust__aes128-simd,aes128-simd,crust,0,completed,True,0,1,2026-08-05T18:11:25.421831Z,2026-08-05T19:07:49.463041Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__aes128-simd/rep0,0,True
2,crust__aes128-simd,aes128-simd,crust,1,completed,True,0,1,2026-08-05T18:11:25.420836Z,2026-08-05T19:16:55.525887Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__aes128-simd/rep1,0,True
2,crust__aes128-simd,aes128-simd,crust,2,completed,True,0,1,2026-08-05T18:11:25.429649Z,2026-08-05T19:18:53.983314Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__aes128-simd/rep2,0,True
3,crust__amp,amp,crust,0,completed,True,0,1,2026-08-05T19:03:27.196584Z,2026-08-05T19:45:31.365737Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__amp/rep0,0,True
3,crust__amp,amp,crust,1,completed,True,0,1,2026-08-05T19:05:46.536195Z,2026-08-05T19:51:06.373423Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__amp/rep1,0,True
